paper_id,row_idx,year,team_size,members,member_ids_or_names,n_skills,skills,skill_weights,skills_with_weights,missing_weight_skills
2888838050,99113,2020,3,2037336103_c._l._philip_chen|2110435249_zhijun_li|2115397990_yu_kang,7229|12392|13919,12,mathematics|artificial_intelligence|machine_learning|robot|hidden_markov_model|control_engineering|mixture_model|task_analysis|human–robot_interaction|exoskeleton_robot|admittance|exoskeleton,0.33949|0.00000|0.43432|0.54143|0.45100|0.45081|0.43519|0.44915|0.50992|0.00000|0.41476|0.52480,mathematics:0.33949|artificial_intelligence:0.00000|machine_learning:0.43432|robot:0.54143|hidden_markov_model:0.45100|control_engineering:0.45081|mixture_model:0.43519|task_analysis:0.44915|human–robot_interaction:0.50992|exoskeleton_robot:0.00000|admittance:0.41476|exoskeleton:0.52480,
2889847541,99114,2020,3,2280789105_yaochu_jin|2692507199_yongsheng_ding|2108157351_kuangrong_hao,7035|13352|13353,12,mathematics|artificial_intelligence|machine_learning|distributed_computing|ranking|quality_of_service|forgetting|cluster_analysis|population|service_system|pareto_principle|internet_of_things,0.35957|0.00000|0.45806|0.46442|0.47327|0.50235|0.43981|0.49237|0.51222|0.50508|0.51127|0.00000,mathematics:0.35957|artificial_intelligence:0.00000|machine_learning:0.45806|distributed_computing:0.46442|ranking:0.47327|quality_of_service:0.50235|forgetting:0.43981|cluster_analysis:0.49237|population:0.51222|service_system:0.50508|pareto_principle:0.51127|internet_of_things:0.00000,
2890133123,99115,2020,4,2669647861_wei_li|2079160086_qian_du|2568389241_bing_zhang|2168598862_lianru_gao,10295|11802|11960|11961,12,mathematics|artificial_intelligence|machine_learning|pattern_recognition|decoding_methods|feature_extraction|data_set|ranging|convolutional_neural_network|lidar|hyperspectral_imaging|earth_observation,0.34370|0.00000|0.44581|0.46956|0.43206|0.53457|0.47076|0.44061|0.49847|0.49928|0.51975|0.45255,mathematics:0.34370|artificial_intelligence:0.00000|machine_learning:0.44581|pattern_recognition:0.46956|decoding_methods:0.43206|feature_extraction:0.53457|data_set:0.47076|ranging:0.44061|convolutional_neural_network:0.49847|lidar:0.49928|hyperspectral_imaging:0.51975|earth_observation:0.45255,
2891143597,99116,2020,4,2167769188_akiko_aizawa|2096377446_kiyoharu_aizawa|2164829603_junjun_jiang|2698415430_jiayi_ma,10861|11580|12774|13027,12,mathematics|artificial_intelligence|machine_learning|pattern_recognition|computational_complexity_theory|locality|iterative_reconstruction|source_code|face_hallucination|thresholding|likelihood-ratio_test|hallucinated,0.37399|0.00000|0.45414|0.46442|0.47505|0.45435|0.45616|0.45586|0.66860|0.53482|0.44022|0.58485,mathematics:0.37399|artificial_intelligence:0.00000|machine_learning:0.45414|pattern_recognition:0.46442|computational_complexity_theory:0.47505|locality:0.45435|iterative_reconstruction:0.45616|source_code:0.45586|face_hallucination:0.66860|thresholding:0.53482|likelihood-ratio_test:0.44022|hallucinated:0.58485,
2892127739,99117,2020,3,2589657406_hongzhi_wang|2130201582_jianzhong_li|2607637236_hong_gao,5205|5206|5207,12,computer_science|artificial_intelligence|machine_learning|data_modeling|graph|data_science|data_management|probabilistic_database|xml|semi-structured_data|data_stream|uncertain_data,0.45021|0.00000|0.44895|0.63865|0.00000|0.46710|0.64447|0.64943|0.48406|0.58451|0.48916|0.74730,computer_science:0.45021|artificial_intelligence:0.00000|machine_learning:0.44895|data_modeling:0.63865|graph:0.00000|data_science:0.46710|data_management:0.64447|probabilistic_database:0.64943|xml:0.48406|semi-structured_data:0.58451|data_stream:0.48916|uncertain_data:0.74730,
2893025380,99118,2020,3,2125567797_junzhi_yu|2170291655_chuandong_li|2139160212_tingwen_huang,6588|6971|9756,10,mathematics|mathematical_optimization|distributed_algorithm|linear_programming|optimization_problem|constrained_optimization|convex_optimization|interior_point_method|convex_function|gradient_method,0.40297|0.47892|0.55909|0.54501|0.60429|0.58346|0.55423|0.54910|0.50870|0.55154,mathematics:0.40297|mathematical_optimization:0.47892|distributed_algorithm:0.55909|linear_programming:0.54501|optimization_problem:0.60429|constrained_optimization:0.58346|convex_optimization:0.55423|interior_point_method:0.54910|convex_function:0.50870|gradient_method:0.55154,
2895548766,99119,2020,3,2113724362_yanwei_pang|2107070739_xuelong_li|2245267964_feiping_nie,5919|7018|7571,11,mathematics|mathematical_optimization|algorithm|matrix_(mathematics)|kernel_(linear_algebra)|embedding|cluster_analysis|logical_matrix|spectral_clustering|orthonormal_basis|orthogonal_matrix,0.40427|0.44414|0.46835|0.62929|0.50818|0.48477|0.58927|0.65842|0.63272|0.57417|0.61813,mathematics:0.40427|mathematical_optimization:0.44414|algorithm:0.46835|matrix_(mathematics):0.62929|kernel_(linear_algebra):0.50818|embedding:0.48477|cluster_analysis:0.58927|logical_matrix:0.65842|spectral_clustering:0.63272|orthonormal_basis:0.57417|orthogonal_matrix:0.61813,
2896371764,99120,2020,3,2567820109_athanasios_v._vasilakos|2229980583_junyu_dong|2617299861_ling_wang,9408|9530|11080,12,mathematics|sorting|artificial_intelligence|mathematical_optimization|machine_learning|operator_(computer_programming)|binary_number|optimization_problem|signal_processing|evolutionary_algorithm|crossover|online_data_processing,0.38366|0.47731|0.00000|0.45222|0.43050|0.47750|0.43858|0.57435|0.45572|0.56319|0.59867|0.00000,mathematics:0.38366|sorting:0.47731|artificial_intelligence:0.00000|mathematical_optimization:0.45222|machine_learning:0.43050|operator_(computer_programming):0.47750|binary_number:0.43858|optimization_problem:0.57435|signal_processing:0.45572|evolutionary_algorithm:0.56319|crossover:0.59867|online_data_processing:0.00000,
2896716530,99121,2020,3,2105720401_tianping_chen|2167396689_wenlian_lu|2166558591_licheng_jiao,2902|4767|6666,9,mathematics|mathematical_optimization|matrix_(mathematics)|convergence_(routing)|control_theory|markov_process|multi-agent_system|coupling|consensus_algorithm,0.41994|0.46413|0.51969|0.47996|0.46941|0.51064|0.46654|0.40953|0.00000,mathematics:0.41994|mathematical_optimization:0.46413|matrix_(mathematics):0.51969|convergence_(routing):0.47996|control_theory:0.46941|markov_process:0.51064|multi-agent_system:0.46654|coupling:0.40953|consensus_algorithm:0.00000,
2910317892,99122,2020,3,2139472747_xingwei_wang|2171177857_min_huang|2125785102_yuhui_shi,5270|5271|11392,11,mathematics|sorting|artificial_intelligence|mathematical_optimization|machine_learning|computation|optimization_problem|evolutionary_algorithm|curse_of_dimensionality|kriging|transfer_matrix,0.39507|0.51258|0.00000|0.46864|0.45629|0.47018|0.57641|0.59073|0.56412|0.53181|0.47412,mathematics:0.39507|sorting:0.51258|artificial_intelligence:0.00000|mathematical_optimization:0.46864|machine_learning:0.45629|computation:0.47018|optimization_problem:0.57641|evolutionary_algorithm:0.59073|curse_of_dimensionality:0.56412|kriging:0.53181|transfer_matrix:0.47412,
